"ID","EconomicScore","SocialScore","PsychoSocialScore","CompositeScore","migration_duration","TrainingDuration","MBSupportDuration","MBAssistanceDuration","sex","age","return_country","origin_country","FinancialServices","Training","SocialSupport","MaterialAssistance","MedicalSupport","PsychosocialSupport","MicrobusinessFormOfAssistance"
"AU1022001355",0.7499999999999999,0.77,0.615,0.7325,0,0,77,47,"Homme",37,"Autre","Autre","No","No","No","No","No","No","CAS"
"BF1022001030",0.58,0.7125000000000001,0.2825,0.54,16,4,190,174.5,"Femme",43,"Algérie","Autre","Yes","Yes","No","No","Yes","Yes","CAS"
"CH1022X000306",0.41500000000000004,0.6491666666666667,0.7175,0.6308333333333334,1,5,222,96,"Homme",23,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000307",0.655,0.36666666666666664,0.8325,0.6433333333333333,2,5,222,114,"Homme",24,"Algérie","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000328",0.4475,0.5791666666666666,0.6825,0.5483333333333333,1,5,222,114,"Homme",26,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000329",0.28500000000000003,0.3608333333333333,0.47750000000000004,0.35416666666666663,0,5,222,114,"Homme",28,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000337",0.615,0.5041666666666667,0.8325,0.6333333333333334,0,5,222,114,"Homme",21,"Niger","Autre","No","Yes","No","No","No","No","Unknown"
"CH1022X000546",0.7050000000000001,0.5291666666666667,0.8724999999999999,0.7033333333333335,1,3,127,186,"Homme",20,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH1022X000634",0.5025,0.37249999999999994,0.7150000000000001,0.555,1,0,46,260,"Homme",28,"Niger","Guinee Conakry","No","No","No","No","No","Yes","CAS"
"CH1022X000635",0.815,0.5566666666666666,0.8975,0.7683333333333335,0,0,106,200,"Homme",23,"Niger","Guinee Conakry","No","No","No","No","No","Yes","CAS, KND"
"CH1022X000640",0.675,0.5675000000000001,0.8,0.7025000000000001,3,0,197,115,"Homme",28,"Algérie","Guinee Conakry","No","No","No","No","No","No","CAS"
"CH1022X000654",0.73,0.5066666666666667,0.89,0.7008333333333335,2,0,104,209,"Homme",30,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X000682",0.76,0.54,0.9874999999999999,0.7400000000000002,2,0,62,244,"Homme",28,"Algérie","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X001055",0.44999999999999996,0.3858333333333333,0.7025,0.5141666666666667,1,0,90,204,"Homme",22,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X001067",0.7925,0.6533333333333333,0.865,0.7791666666666668,1,0,103,181,"Homme",37,"Algérie","Guinee Conakry","No","No","No","No","No","Yes","CAS, KND"
"CH1022X001452",0.715,0.3458333333333333,0.8474999999999999,0.6666666666666667,1,0,326,174.5,"Homme",28,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X001480",0.6124999999999999,0.5283333333333333,0.8849999999999999,0.7016666666666668,1,0,54,224,"Homme",22,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X001811X1",0.2925,0.5216666666666667,0.8374999999999999,0.5783333333333334,0,6,32,230,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X001825X1",0.645,0.5216666666666667,0.8274999999999999,0.6758333333333335,4,6,32,258,"Femme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X001829X1",0.4575,0.555,0.7975,0.6150000000000001,5,6,32,244,"Homme",30,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X001844X1",0.7875,0.6225,0.8,0.755,2,6,32,217,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X001878X1",0.31500000000000006,0.555,0.8274999999999999,0.5875000000000001,4,6,32,244,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X001884X1",0.75,0.6766666666666667,0.8,0.7483333333333334,0,6,32,226,"Homme",31,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X002046",0.7174999999999999,0.4716666666666667,0.825,0.6433333333333334,1,0,57,207,"Homme",19,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X002198X1",0.53,0.41166666666666674,0.8899999999999999,0.5983333333333334,1,6,53,215,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002213X1",0.7124999999999999,0.4658333333333334,0.9025000000000001,0.7216666666666669,9,6,53,220,"Homme",32,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002224X1",0.675,0.56,0.8,0.7075000000000001,2,6,53,194,"Homme",33,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002238X1",0.49750000000000005,0.525,0.8049999999999999,0.6250000000000001,6,0,79,194,"Homme",24,"Algérie","Mali","Yes","No","Yes","Yes","No","No","KND"
"CH1022X002258X1",0.7575,0.5216666666666667,0.835,0.7133333333333335,7,6,29,230,"Homme",32,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002280X1",0.8424999999999999,0.5783333333333334,0.8374999999999999,0.7666666666666667,4,6,73,200,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002292X1",0.83,0.48833333333333334,0.8899999999999999,0.7441666666666669,6,6,29,258,"Homme",34,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X002296X1",0.7875,0.45999999999999996,0.77,0.6950000000000002,13,6,29,218,"Homme",30,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002307X1",0.6425,0.555,0.8125,0.7175,1,0,53,220,"Homme",22,"Algérie","Mali","Yes","No","Yes","Yes","No","No","KND"
"CH1022X002333X1",0.39249999999999996,0.525,0.8625,0.6150000000000001,7,6,53,220,"Homme",46,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002556X1",0.44,0.5483333333333333,0.8599999999999999,0.6616666666666667,1,6,97,147,"Homme",21,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X002558X1",0.675,0.5216666666666667,0.89,0.7258333333333334,3,6,54,216,"Homme",31,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","KND"
"CH1022X002567X1",0.765,0.39749999999999996,0.815,0.67,1,6,50,207,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X002570X1",0.6825,0.555,0.7825,0.6975000000000001,0,6,50,198,"Homme",39,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002580X1",0.4525,0.4275,0.7675000000000001,0.5800000000000001,4,6,70,200,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X002587X1",0.7124999999999999,0.4716666666666667,0.8400000000000001,0.6658333333333334,2,6,50,206,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002598X1",0.475,0.37583333333333335,0.8274999999999999,0.5516666666666667,4,6,50,240,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","KND"
"CH1022X002608X1",0.5449999999999999,0.5916666666666666,0.8525,0.6333333333333333,0,6,50,221,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X002643X1",0.875,0.5475,0.7925,0.7500000000000002,0,6,65,202,"Homme",30,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002683X1",0.5025,0.4041666666666667,0.77,0.5533333333333333,8,6,80,161,"Homme",26,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002685X1",0.6525,0.6375000000000001,0.8400000000000001,0.7325,2,6,72,169,"Homme",32,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002698X1",0.6825,0.49333333333333335,0.8274999999999999,0.6791666666666668,2,6,93,187,"Homme",34,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X002732",0.535,0.38,0.81,0.5650000000000001,3,6,35,246,"Homme",38,"Libye","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X002737X1",0.6375000000000001,0.4575,0.7975,0.6525000000000001,2,6,66,202,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002744X1",0.4125,0.4575,0.7000000000000001,0.5575000000000001,2,6,72,195,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X002766X1",0.78,0.4175,0.865,0.6925000000000001,1,6,142,120,"Homme",35,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X002946X1",0.42750000000000005,0.4633333333333333,0.77,0.5966666666666667,4,6,63,201,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X002986X1",0.5575,0.4841666666666667,0.815,0.6408333333333334,0,6,90,174,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X002998X1",0.7825,0.4508333333333333,0.7300000000000001,0.6691666666666668,0,6,63,171,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003006X1",0.7825,0.39666666666666667,0.67,0.6333333333333334,0,6,60,174,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X003007X1",0.5775,0.65,0.8225,0.6975,0,6,60,174,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","KND"
"CH1022X003017X1",0.8,0.43000000000000005,0.78,0.6700000000000002,10,6,126,123,"Homme",25,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003041X1",0.37,0.5233333333333334,0.5175000000000001,0.4491666666666667,5,6,63,200,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X003113X1",0.815,0.5216666666666667,0.8525,0.7208333333333334,8,6,65,196,"Homme",31,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X003139X1",0.5025000000000001,0.4066666666666667,0.8175,0.6008333333333334,5,6,39,216,"Homme",25,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X003160X1",0.475,0.3333333333333333,0.7975,0.5616666666666668,1,6,28,248,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X003200X1",0.7374999999999999,0.45999999999999996,0.7975,0.6850000000000002,0,6,39,199,"Homme",21,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X003203X1",0.48750000000000004,0.5066666666666667,0.7274999999999999,0.5633333333333334,0,6,73,188,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X003235X1",0.5275,0.45416666666666666,0.7000000000000001,0.6033333333333335,2,6,39,222,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003789X1",0.9299999999999999,0.5858333333333333,0.8725,0.8116666666666668,5,6,118,123,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003790X1",0.7875,0.7066666666666668,0.8274999999999999,0.7758333333333335,5,6,56,196,"Homme",25,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003796X1",0.6325,0.5758333333333333,0.7425,0.6741666666666667,0,6,36,200,"Homme",20,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003805X1",0.8175,0.5266666666666667,0.8374999999999999,0.7533333333333334,2,6,36,206,"Homme",30,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X003817X1",0.5125000000000001,0.4916666666666667,0.8274999999999999,0.6308333333333335,2,6,83,176,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X003853X1",0.7625000000000001,0.485,0.7975,0.6850000000000002,1,6,36,223,"Homme",25,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X003864X1",0.6575,0.475,0.8274999999999999,0.6475000000000002,0,0,124,152,"Homme",25,"Algérie","Mali","Yes","No","Yes","Yes","No","No","KND"
"CH1022X004534X1",0.575,0.38583333333333336,0.7025,0.5791666666666667,2,6,32,223,"Homme",30,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","KND"
"CH1022X004536X1",0.6025,0.505,0.81,0.6150000000000001,0,6,52,179,"Homme",19,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X004558X1",0.6675,0.49,0.8899999999999999,0.7050000000000001,1,6,32,226,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X004572X1",0.87,0.4075,0.9025000000000001,0.7275000000000003,3,6,32,206,"Homme",32,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X004577X1",0.8375,0.5875000000000001,0.665,0.7150000000000001,6,6,32,205,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X004587X1",0.7374999999999999,0.6208333333333332,0.77,0.7316666666666668,2,6,32,200,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X004626X1",0.5025000000000001,0.36916666666666664,0.8274999999999999,0.5733333333333334,1,6,32,227,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X004632X1",0.6950000000000001,0.4916666666666667,0.8274999999999999,0.6883333333333335,0,6,32,241,"Homme",25,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X004656X1",0.8175,0.36749999999999994,0.8325,0.7025000000000001,6,6,128,109,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X004674X1",0.5375000000000001,0.4558333333333333,0.9075,0.6541666666666667,3,6,59,180,"Homme",26,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X004675X1",0.6075,0.4766666666666667,0.865,0.6258333333333335,0,6,32,227,"Homme",20,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X008017X1",0.8424999999999999,0.49,0.7825,0.7275,0,6,45,180,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X008030X1",0.825,0.47416666666666674,0.835,0.6958333333333335,0,6,45,185,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X008048X1",0.59,0.48,0.8225,0.6175000000000002,2,6,45,207,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X008056X1",0.8424999999999999,0.5166666666666667,0.8600000000000001,0.7483333333333335,3,6,90,140,"Homme",32,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","KND"
"CH1022X008060X1",0.8099999999999999,0.5566666666666666,0.68,0.7058333333333334,0,6,45,181,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X008073X1",0.6425,0.5333333333333333,0.6649999999999999,0.5641666666666668,6,4,156,85,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X008080X1",0.775,0.5975000000000001,0.8899999999999999,0.7125000000000001,3,6,149,103,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X008092X1",0.7200000000000001,0.35083333333333333,0.5325,0.4566666666666668,1,0,45,187,"Homme",32,"Algérie","Mali","Yes","No","Yes","Yes","Yes","Yes","KND"
"CH1022X008097X1",0.6875,0.48083333333333333,0.7975,0.6841666666666668,0,6,85,182,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X008109X1",0.58,0.6283333333333333,0.86,0.7091666666666668,1,6,72,169,"Homme",20,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X008143X1",0.6549999999999999,0.5608333333333333,0.635,0.5941666666666667,0,6,85,159,"Homme",21,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","KND"
"CH1022X008501",0.715,0.6400000000000001,0.9275,0.7800000000000002,0,0,29,213,"Homme",30,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X008522X1",0.5025000000000001,0.6158333333333333,0.835,0.6741666666666667,0,6,52,193,"Homme",21,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X008524X1",0.4025000000000001,0.445,0.775,0.5525000000000001,7,6,114,111,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X008534X1",0.7124999999999999,0.48833333333333334,0.7425,0.6766666666666667,3,6,38,181,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X008542X1",0.6950000000000001,0.64,0.7575,0.6625000000000001,0,6,62,157,"Homme",26,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","Yes","KND"
"CH1022X008561X1",0.3725,0.6158333333333333,0.7675000000000001,0.6066666666666668,0,6,52,193,"Homme",24,"Algérie","Autre","Yes","Yes","Yes","Yes","Yes","Yes","CAS, KND"
"CH1022X008609X1",0.47250000000000003,0.5016666666666667,0.8400000000000001,0.6283333333333333,4,6,101,115,"Homme",27,"Libye","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X008616X1",0.875,0.6558333333333334,0.8374999999999999,0.7641666666666669,5,62,149,70,"Homme",27,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X008620X1",0.535,0.5216666666666667,0.6774999999999999,0.5458333333333335,3,6,44,201,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X008650X1",0.8375,0.4416666666666667,0.8274999999999999,0.6658333333333335,1,6,38,208,"Homme",24,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X008657X1",0.73,0.43500000000000005,0.67,0.6175000000000002,1,6,78,141,"Homme",21,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X008834X1",0.43500000000000005,0.38833333333333336,0.8274999999999999,0.5416666666666667,0,6,35,222,"Homme",29,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X008905X1",0.8125,0.43500000000000005,0.8899999999999999,0.6775000000000002,1,6,41,181,"Homme",22,"Algérie","Mali","Yes","Yes","Yes","Yes","No","No","CAS, KND"
"CH1022X008924X1",0.6575,0.43749999999999994,0.7675000000000001,0.6175,1,6,49,167,"Homme",34,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X008929X1",0.65,0.3358333333333333,0.815,0.6191666666666668,1,6,75,168,"Homme",23,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","KND"
"CH1022X009711",0.5225,0.5233333333333334,0.6849999999999999,0.6091666666666667,1,0,93,141,"Homme",19,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X009950",0.5650000000000001,0.4675,0.6974999999999999,0.6075,1,0,86,140,"Homme",20,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X010035",0.595,0.56,0.9450000000000001,0.6900000000000002,0,0,102,115,"Homme",22,"Algérie","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH1022X011977X1",0.8424999999999999,0.7466666666666668,0.7675,0.7958333333333334,0,6,51,96,"Homme",26,"Algérie","Mali","Yes","Yes","Yes","Yes","No","Yes","CAS, KND"
"CH1022X011985X1",0.8424999999999999,0.7241666666666667,0.8274999999999999,0.7933333333333334,0,6,51,132,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH1022X012000X1",0.755,0.4916666666666667,0.7775,0.6783333333333335,3,6,83,114,"Homme",28,"Algérie","Mali","Yes","Yes","Yes","Yes","Yes","No","CAS, KND"
"CH5017X039018",0.7875,0.5966666666666666,0.8274999999999999,0.7383333333333335,0,0,121.5,175,"Femme",30,"Niger","Autre","No","No","No","No","No","Yes","CAS"
"CH5018X013663",0.38,0.4916666666666667,0.7600000000000001,0.5833333333333333,7,0,121.5,148,"Homme",39,"Algérie","Autre","No","No","No","No","Yes","Yes","CAS"
"CH5018X013695",0.7424999999999999,0.8216666666666668,0.8999999999999999,0.8533333333333335,7,0,264,174.5,"Homme",26,"Autre","Autre","No","No","No","No","Yes","No","KND"
"CH5020X003145",0.9299999999999999,0.7383333333333334,0.8724999999999999,0.8591666666666666,2,0,222,174.5,"Femme",38,"Niger","Autre","No","No","Yes","Yes","Yes","No","CAS"
"CH5021X011416X1",0.665,0.55,0.7274999999999999,0.6525000000000002,5,6,2,377,"Homme",32,"Algérie","Mali","Yes","Yes","No","No","Yes","No","KND"
"CH5021X011435X1",0.645,0.59,0.8,0.6975000000000001,5,6,2,377,"Homme",38,"Algérie","Mali","Yes","Yes","No","No","No","No","KND"
"CH5021X011437X1",0.6174999999999999,0.49333333333333335,0.61,0.6216666666666666,0,6,2,377,"Homme",24,"Algérie","Mali","Yes","Yes","No","No","Yes","No","KND"
"CH5021X011438X1",0.7675,0.64,0.7000000000000001,0.7300000000000001,6,0,2,350,"Homme",24,"Algérie","Mali","Yes","No","No","No","No","No","KND"
"CH5021X011468X1",0.9425,0.5475000000000001,0.8,0.7500000000000001,1,0,2,377,"Homme",25,"Algérie","Mali","Yes","No","No","No","No","No","KND"
"CH5021X011478X1",0.8424999999999999,0.38250000000000006,0.7975,0.6500000000000001,1,6,2,377,"Homme",23,"Algérie","Mali","Yes","Yes","No","No","No","No","KND"
"CH5021X011635",0.465,0.4325,0.6299999999999999,0.5375000000000001,1,4,140,244,"Homme",22,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011656",0.655,0.28833333333333333,0.66,0.4966666666666667,5,0,49,355,"Homme",26,"Libye","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH5021X011664",0.8475,0.56,0.8799999999999999,0.7900000000000003,0,4,140,244,"Homme",24,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011665",0.415,0.6508333333333333,0.75,0.6441666666666667,0,4,140,237,"Homme",23,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"Ch5021x011667",0.88,0.5516666666666667,0.67,0.6258333333333335,0,0,0,0,"Homme",20,"Algérie","Guinee Conakry","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"CH5021X011688",0.5575,0.48833333333333334,0.5775,0.5691666666666668,2,4,140,245,"Homme",25,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011691",0.7,0.7450000000000001,0.8674999999999999,0.7875000000000001,1,0,186,197,"Homme",22,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH5021X011693",0.4575,0.4725,0.6775000000000001,0.59,1,4,140,245,"Homme",21,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011698",0.55,0.3833333333333333,0.8875,0.6366666666666667,3,0,181,194,"Homme",21,"Niger","Guinee Conakry","No","No","No","No","No","No","KND"
"CH5021X011705",0.665,0.555,0.9075,0.6900000000000002,5,4,140,236,"Homme",20,"Autre","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011706",0.8574999999999999,0.7091666666666667,0.8674999999999999,0.8158333333333334,1,4,140,237,"Homme",22,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011734",0.7625,0.5133333333333333,0.7725,0.6666666666666667,2,4,140,245,"Homme",23,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011746",0.6425,0.7758333333333335,0.8225,0.7691666666666666,1,0,225,157,"Homme",19,"Algérie","Guinee Conakry","No","No","Yes","Yes","No","No","CAS, KND"
"CH5021X011750",0.4975,0.49833333333333335,0.7250000000000001,0.5841666666666667,1,4,140,244,"Homme",25,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS"
"CH5021X011756",0.52,0.48333333333333334,0.8525000000000001,0.6241666666666666,4,1,140,252,"Homme",31,"Autre","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011764X1",0.5275,0.48833333333333334,0.6849999999999999,0.5116666666666667,0,0,2,375,"Homme",24,"Algérie","Mali","Yes","No","No","No","No","Yes","KND"
"CH5021X011789",0.48750000000000004,0.37833333333333335,0.5175,0.4041666666666667,2,6,2,174.5,"Homme",25,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","Yes","KND"
"CH5021X011791X1",0.8999999999999999,0.5266666666666667,0.7374999999999999,0.7333333333333335,1,6,2,370,"Homme",27,"Algérie","Mali","Yes","Yes","No","No","No","No","KND"
"CH5021X011824X1",0.9299999999999999,0.6058333333333333,0.8075,0.7966666666666667,2,6,2,369,"Homme",20,"Algérie","Mali","Yes","Yes","No","No","No","No","KND"
"CH5021X011845X1",0.665,0.56,0.7200000000000001,0.675,3,0,2,370,"Homme",26,"Algérie","Mali","Yes","No","No","No","No","Yes","KND"
"CH5021X011846X1",0.4525,0.525,0.875,0.65,2,6,2,370,"Homme",24,"Algérie","Mali","Yes","Yes","No","No","No","No","KND"
"CH5021X011871",0.48,0.38499999999999995,0.75,0.5875,3,4,133,245,"Homme",21,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011873",0.9299999999999999,0.5125000000000001,0.9324999999999999,0.7775000000000002,1,0,179,190,"Homme",22,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH5021X011885",0.33499999999999996,0.31666666666666665,0.8575,0.5083333333333334,1,0,174,194,"Homme",19,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"Ch5021x011890",0.865,0.6208333333333333,0.7725000000000001,0.7741666666666668,2,0,0,0,"Homme",21,"Algérie","Guinee Conakry","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"CH5021X011897",0.75,0.6191666666666666,0.795,0.7358333333333333,0,8,176,206,"Homme",19,"Algérie","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011917",0.4525,0.54,0.6849999999999999,0.5675000000000001,2,4,133,245,"Homme",27,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011921",0.5275,0.47833333333333333,0.8150000000000001,0.5841666666666668,1,4,133,244,"Homme",34,"Niger","Guinee Conakry","Yes","Yes","No","No","No","No","CAS, KND"
"CH5021X011929",0.5275,0.51,0.7974999999999999,0.6375000000000001,1,0,118,258,"Homme",27,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
"CH5021X011941",0.475,0.33499999999999996,0.9175,0.595,6,0,179,199,"Homme",21,"Niger","Guinee Conakry","No","No","No","No","No","No","CAS, KND"
